Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Scorpaena plumieri,Spotted scorpionfish,Scorpaenidae,pelagic,species,"26.5","10.7","67.5","0.53","0.27","1.47","0.293","0.127","0.806","19.3","17.6","21.0","16.8","7.9","40.6","58.3","19.9","179.9","0.815","0.541","1.238"
Scorpaenodes caribbaeus,Reef scorpionfish,Scorpaenidae,benthic,species,"103","52","233","0.741","0.376","1.950","0.222","0.094","0.606","18.1","16.2","20.2","20.3","10.2","50.7","178","59","510","1.69","1.13","2.48"
Scorpaenodes tredecimspinosus,Deepreef scorpionfish,Scorpaenidae,benthic,genus,"92.6","35.4","278.9","0.911","0.421","2.198","0.44","0.18","1.28","18.6","16.7","20.7","12.3","4.8","32.3","122","35","432","1.34","0.80","2.15"
Scyliorhinus besnardi,Polkadot catshark,Scyliorhinidae,benthic,genus,"34.1","4.9","187.5","0.864","0.237","2.666","0.215","0.094","0.467","18.2","15.1","21.3","20.1","5.8","58.5","19.8","6.9","56.4","0.594","0.281","1.116"
Selar crumenophthalmus,Bigeye scad,Carangidae,benthic,species,"44.7","14.5","96.7","0.976","0.355","2.254","0.331","0.165","0.686","21.2","19.1","23.1","51.7","18.8","141.0","15.1","3.9","70.2","0.678","0.337","1.145"
Selene setapinnis,Atlantic moonfish,Carangidae,benthic,species,"72.3","42.4","149.2","1.18","0.66","2.21","0.381","0.226","0.665","18.5","16.6","20.8","30","16","56","9.4","3.0","26.4","0.828","0.587","1.182"
Selene vomer,Lookdown,Carangidae,benthic,species,"98.3","55.1","209.5","1.33","0.75","2.58","0.43","0.26","0.73","19.2","17.4","21.5","22","12","45","10","3","30","0.709","0.507","1.020"
Seriola dumerili,Greater amberjack,Carangidae,benthic,species,"15","7","27","0.641","0.347","1.180","0.238","0.141","0.418","19.9","16.9","22.6","31.8","16.4","60.8","62.5","8.3","430.9","0.351","0.235","0.528"
Seriola fasciata,Lesser amberjack,Carangidae,pelagic,species,"52.1","31.4","109.6","1.09","0.60","1.99","0.39","0.24","0.65","18.2","15.3","21.1","31.8","16.6","61.7","56.6","7.4","416.2","0.54","0.38","0.78"
Seriola lalandi,Yellowtail amberjack,Carangidae,pelagic,species,"21.2","12.9","45.7","0.82","0.48","1.56","0.387","0.235","0.660","18.5","15.5","21.3","64.4","33.2","123.5","23","3","158","0.461","0.323","0.665"
Seriola rivoliana,Longfin yellowtail,Carangidae,pelagic,species,"14.1","5.5","25.1","0.56","0.28","1.19","0.17","0.09","0.35","19.2","16.2","22.1","28.9","11.7","63.4","59.8","6.7","525.8","0.353","0.223","0.542"
Seriola zonata,Banded rudderfish,Carangidae,pelagic,species,"46.8","28.0","97.6","1.07","0.60","1.95","0.426","0.263","0.715","18.2","15.3","21.1","40.5","20.9","76.6","51.1","6.7","359.9","0.503","0.351","0.728"
Seriolella porosa,Choicy ruff,Centrolophidae,pelagic,species,"49","31","87","0.872","0.568","1.404","0.393","0.248","0.603","17.4","15.5","19.5","40.4","21.2","78.2","29.5","11.1","84.8","0.772","0.574","1.053"
Serranus annularis,Orangeback bass,Serranidae,benthic,genus,"120","62","237","0.865","0.447","1.530","0.198","0.116","0.335","18.3","16.4","20.0","29","15","56","145","46","487","1.8","1.2","2.6"
Serranus atrobranchus,Blackear bass,Serranidae,benthic,genus,"207","76","388","1.19","0.63","2.20","0.314","0.180","0.570","17.6","15.7","19.3","58.3","30.5","114.2","33.2","11.4","112.6","1.31","0.92","1.97"
Serranus baldwini,Lantern bass,Serranidae,pelagic,species,"91.6","47.8","182.2","0.741","0.377","1.306","0.202","0.122","0.334","18.5","16.6","20.2","28.4","14.9","55.0","151","47","528","1.45","0.96","2.14"
Serranus flaviventris,Twinspot bass,Serranidae,benthic,genus,"118","59","241","0.889","0.444","1.643","0.237","0.129","0.430","18.1","16.2","19.9","42.7","19.8","86.3","141","43","516","1.82","1.16","2.75"
Serranus phoebe,Tattler,Serranidae,benthic,species,"36.7","18.7","91.8","0.631","0.319","1.174","0.308","0.168","0.535","18.9","17.1","20.6","20.2","9.3","40.3","70.4","21.7","271.4","0.884","0.561","1.400"
Serranus tabacarius,Tobaccofish,Serranidae,pelagic,species,"37.4","19.2","81.3","0.669","0.336","1.252","0.268","0.152","0.468","19.1","17.3","20.8","13","6","27","127","41","466","0.747","0.470","1.169"
Serrivomer beanii,Stout sawpalate,Serrivomeridae,pelagic,species,"11.4","2.5","45.7","0.307","0.091","1.024","0.209","0.066","0.681","18.3","15.8","20.9","19.5","5.4","84.2","14.2","1.6","116.9","0.374","0.168","0.924"
Sorubim lima,Duckbill catfish,Pimelodidae,pelagic,species,"95.5","37.7","231.7","1.28","0.70","2.50","0.307","0.130","0.720","16.7","14.8","18.9","76.9","33.5","186.9","33.4","13.1","77.6","1.27","0.90","1.77"
Sparisoma amplum,Reef parrotfish,Scaridae,benthic,genus,"48","28","91","0.675","0.370","1.133","0.102","0.060","0.164","18.3","16.1","20.7","31.5","18.4","58.5","53.4","16.3","171.1","1.68","1.16","2.66"
Sparisoma atomarium,Greenblotch parrotfish,Scaridae,benthic,species,"93.3","53.4","203.9","1.17","0.60","2.03","0.113","0.059","0.226","18.3","16.0","20.8","56.3","26.9","121.7","26.1","7.1","103.8","2.37","1.55","3.74"
Sparisoma aurofrenatum,Redband parrotfish,Scaridae,benthic,species,"40.6","20.6","87.8","0.787","0.395","1.416","0.158","0.082","0.289","19","17","21","13.4","6.2","28.9","34.2","9.1","126.0","1.27","0.82","2.21"
Sparisoma axillare,Gray parrotfish,Scaridae,benthic,genus,"44.3","26.0","82.7","0.654","0.359","1.101","0.101","0.060","0.163","18.3","16.1","20.7","33.3","19.5","61.8","51","16","164","1.61","1.12","2.55"
Sparisoma chrysopterum,Redtail parrotfish,Scaridae,benthic,species,"54.9","32.2","104.2","0.781","0.413","1.321","0.0942","null","null","18.5","16.3","20.9","33.3","18.8","63.7","34.7","10.3","119.0","1.64","1.12","2.59"
Sparisoma frondosum,Agassiz's parrotfish,Scaridae,benthic,genus,"50.6","30.2","95.2","0.691","0.377","1.153","0.108","0.064","0.173","18.2","16.0","20.6","33.4","19.3","61.2","56.3","17.4","182.4","1.71","1.19","2.71"
Sparisoma radians,Bucktooth parrotfish,Scaridae,benthic,species,"89.4","52.9","176.4","0.92","0.49","1.57","0.104","0.059","0.174","18.3","16.1","20.7","26.1","14.8","49.7","56.7","17.3","192.1","2.16","1.44","3.49"
Sparisoma viride,Stoplight parrotfish,Scaridae,benthic,species,"23.5","12.5","48.3","0.649","0.330","1.159","0.152","0.082","0.269","19.1","17.0","21.5","19","9","40","21.8","5.8","80.5","0.943","0.615","1.606"
Sphoeroides greeleyi,Green puffer,Tetraodontidae,benthic,species,"66","29","184","0.762","0.386","1.730","0.149","0.075","0.288","18.5","16.4","20.7","36.8","16.9","78.9","51.6","13.8","208.3","1.46","0.94","2.18"
Sphoeroides pachygaster,Blunthead puffer,Tetraodontidae,pelagic,species,"45.3","18.9","120.5","0.907","0.404","2.246","0.351","0.170","0.724","17.7","15.4","19.9","41.8","17.4","103.1","20","5","85","0.535","0.350","0.845"
Sphoeroides spengleri,Bandtail puffer,Tetraodontidae,benthic,species,"32.6","10.8","107.5","0.68","0.34","1.43","0.262","0.123","0.509","19.7","17.5","21.9","15.9","7.1","34.3","42.4","13.0","139.6","0.993","0.654","1.519"
Sphoeroides testudineus,Checkered puffer,Tetraodontidae,benthic,species,"32.1","11.0","104.4","0.721","0.352","1.490","0.248","0.115","0.488","19.9","17.7","22.1","17.2","7.6","39.1","29.4","8.7","102.1","0.919","0.596","1.423"
Sphyraena barracuda,Great barracuda,Sphyraenidae,pelagic,species,"5.57","2.60","15.19","0.229","0.101","0.480","0.124","0.054","0.274","21.2","19.3","22.9","21.4","8.5","52.9","18.1","4.1","117.9","0.298","0.187","0.511"
Sphyraena guachancho,Guachanche barracuda,Sphyraenidae,pelagic,species,"17.1","7.1","41.1","0.505","0.233","1.049","0.216","0.093","0.486","20.7","18.7","22.3","26.1","11.5","59.3","5.29","1.11","31.59","0.335","0.219","0.563"
Sphyraena picudilla,Southern sennet,Sphyraenidae,pelagic,species,"20.1","9.3","52.6","0.308","0.144","0.652","0.0891","null","null","20","18","22","32.4","14.2","83.5","52.8","11.7","256.5","0.519","0.325","0.894"
Sphyrna lewini,Scalloped hammerhead,Sphyrnidae,benthic,species,"11.1","2.3","63.0","0.63","0.15","2.02","0.129","0.051","0.334","19.7","17.6","22.0","84.6","24.3","265.5","9.24","3.00","30.53","0.642","0.304","1.209"
Sphyrna mokarran,Great hammerhead,Sphyrnidae,pelagic,species,"6.09","1.31","34.08","0.597","0.148","1.835","0.168","0.066","0.417","20.7","18.6","22.9","33.5","10.8","93.8","4.93","1.58","16.43","0.393","0.195","0.737"
Sphyrna tiburo,Bonnethead,Sphyrnidae,benthic,species,"6.95","1.35","35.56","0.372","0.090","1.111","0.115","0.044","0.282","21.3","19.1","23.4","15.4","4.2","49.6","16.5","4.9","59.7","0.52","0.24","1.15"
Sphyrna zygaena,Smooth hammerhead,Sphyrnidae,benthic,species,"6.91","1.40","36.90","0.597","0.147","1.835","0.181","0.072","0.443","21","19","23","28.1","9.1","75.6","6.26","1.94","20.86","0.362","0.178","0.681"
Squaliolus laticaudus,Spined pygmy shark,Dalatiidae,pelagic,species,"15.1","2.2","91.4","0.273","0.062","1.162","0.179","0.048","0.671","19.1","17.0","21.3","8.32","1.83","33.05","95.1","10.1","921.0","0.651","0.261","1.877"
Squalus acanthias,Picked dogfish,Squalidae,benthic,species,"7.1","1.6","32.4","0.198","0.051","0.558","0.795","0.344","1.864","18.2","16.5","19.6","18.2","4.9","54.0","22.5","8.1","66.4","0.413","0.203","0.802"
Squalus mitsukurii,Shortspine spurdog,Squalidae,benthic,species,"5.8","1.1","29.3","0.244","0.057","0.768","0.358","0.127","0.938","17.2","15.5","18.9","14","4","44","22.6","5.0","112.6","0.32","0.15","0.64"
Squatina argentina,Argentine angelshark,Squatinidae,pelagic,species,"8.08","1.10","152.92","0.689","0.065","8.563","0.288","0.108","0.796","18.4","16.3","20.6","34.1","6.7","171.6","5.73","0.45","68.92","0.355","0.021","4.093"
Squatina guggenheim,Angular angel shark,Squatinidae,benthic,species,"18.6","3.4","85.9","0.762","0.196","2.146","0.441","0.196","0.945","20.1","18.0","22.1","26.6","7.5","70.5","11.3","4.1","33.1","0.478","0.237","0.881"
Starksia ocellata,Checkered blenny,Labrisomidae,benthic,genus,"167","78","285","0.78","0.43","1.38","0.106","0.055","0.200","18.2","17.0","19.3","20.5","8.0","48.5","234","70","781","2.36","1.49","3.48"
Starksia sluiteri,Chessboard blenny,Labrisomidae,benthic,genus,"231","93","454","0.859","0.436","1.658","0.127","0.059","0.263","17.9","16.7","19.2","18.7","6.3","51.5","400","104","1,584","2.87","1.72","4.50"
Stegastes fuscus,Brazilian damsel,Pomacentridae,benthic,species,"82.9","43.6","138.3","0.621","0.369","1.032","0.137","0.083","0.226","18.7","17.5","19.7","17.8","9.1","34.0","222","66","717","1.92","1.30","2.68"
Stegastes leucostictus,Beaugregory,Pomacentridae,benthic,genus,"124","63","196","0.779","0.462","1.295","0.11","0.06","0.18","18.4","17.3","19.5","18.8","10.4","36.2","95.9","28.1","308.4","1.72","1.15","2.52"
Stegastes partitus,Bicolor damselfish,Pomacentridae,benthic,species,"123","65","204","0.889","0.533","1.467","0.157","0.098","0.256","18.2","17.1","19.3","30.7","16.8","59.7","111","31","375","2.37","1.62","3.37"
Stegastes pictus,Yellowtip damselfish,Pomacentridae,benthic,species,"409","262","985","1.8","1.1","3.2","0.224","0.121","0.409","17.5","16.5","18.4","32.2","16.3","68.2","37.4","11.4","121.0","2.77","1.88","4.05"
Stegastes variabilis,Cocoa damselfish,Pomacentridae,benthic,genus,"103","52","161","0.741","0.459","1.216","0.11","0.07","0.18","18.1","17.0","19.3","25.1","13.9","46.7","81.5","21.8","278.2","1.75","1.19","2.54"
Stellifer rastrifer,Rake stardrum,Sciaenidae,benthic,species,"176","104","346","1.15","0.62","2.00","0.234","0.125","0.389","19","18","20","46.3","25.9","87.0","19.9","8.0","52.6","1.47","1.08","2.09"
Stephanolepis hispida,Planehead filefish,Monacanthidae,benthic,species,"26.7","10.6","86.6","0.652","0.305","1.653","0.181","0.082","0.373","18.5","16.2","20.8","23.7","10.1","58.9","31","7","140","0.845","0.516","1.429"
Stephanolepis setifer,Pygmy filefish,Monacanthidae,benthic,species,"34.1","13.7","118.3","0.698","0.316","1.765","0.175","0.079","0.351","18.7","16.4","20.9","16.8","7.0","40.0","39.7","9.5","173.6","0.898","0.546","1.525"
Stomias boa,Boa dragonfish,Stomiidae,pelagic,species,"38.7","14.5","89.5","0.39","0.18","1.07","0.195","0.074","0.495","17.6","16.1","19.1","18.7","6.6","51.9","40.7","5.1","306.5","0.457","0.254","0.874"
Stromateus brasiliensis,Southwest Atlantic butterfish,Stromateidae,pelagic,species,"71.8","31.7","143.6","1.03","0.50","1.87","0.368","0.232","0.576","15.7","13.8","18.3","33.8","18.4","67.8","21.1","7.8","56.4","0.79","0.55","1.12"
Strongylura marina,Atlantic needlefish,Belonidae,pelagic,species,"32.1","9.6","151.2","0.502","0.206","1.149","0.165","0.065","0.473","17.7","15.6","19.7","18.3","7.7","45.7","51.5","13.5","245.1","0.78","0.47","1.31"
Strongylura timucu,Timucu,Belonidae,pelagic,species,"49.4","13.5","197.1","0.524","0.222","1.285","0.18","0.07","0.52","18.3","16.3","20.4","9.41","3.63","24.67","95.1","23.1","447.0","0.693","0.394","1.211"
Stygnobrotula latebricola,Black brotula,Bythitidae,benthic,family,"139","79","281","1.07","0.62","1.83","0.234","0.124","0.429","17.1","14.6","19.7","41.1","21.3","81.8","108","35","329","2.32","1.57","3.31"
Styracura schmardae,Chupare stingray,Potamotrygonidae,benthic,family,"13.6","2.0","252.8","0.646","0.057","7.729","0.11","0.03","0.33","20.6","18.1","23.2","53.9","11.2","288.5","5.07","0.40","53.26","0.633","0.037","7.414"
Sudis hyalina,,Paralepididae,pelagic,family,"19.9","6.1","56.5","0.332","0.111","1.035","0.0925","null","null","16","13","19","26.8","8.3","77.2","12.8","1.4","108.3","0.347","0.183","0.692"
Syacium micrurum,Channel flounder,Cyclopsettidae,benthic,species,"99.6","49.0","182.3","0.834","0.376","1.552","0.191","0.080","0.420","16.1","13.8","18.5","88.8","44.8","183.2","26.1","7.9","78.2","1.18","0.79","1.69"
Syacium papillosum,Dusky flounder,Cyclopsettidae,benthic,species,"62.3","24.4","124.4","0.593","0.270","1.084","0.0916","null","null","17.2","15.1","19.5","43.7","22.6","90.2","45.5","11.9","188.3","0.971","0.632","1.435"
Symbolophorus barnardi,Barnards lanternfishes,Myctophidae,benthic,species,"87.9","23.5","242.2","0.5","0.2","1.6","0.291","0.097","0.864","16.4","14.6","18.2","12.6","3.7","41.1","88.9","10.5","769.0","0.852","0.426","1.830"
Symbolophorus veranyi,Large-scale lantern fish,Myctophidae,pelagic,species,"73.6","22.2","220.4","0.518","0.192","1.651","0.47","0.16","1.41","17","15","19","11.3","3.6","34.1","93","12","787","0.787","0.393","1.701"
Symphurus diomedeanus,Spottedfin tonguefish,Cynoglossidae,benthic,species,"45.3","16.1","119.5","0.626","0.277","1.200","0.148","0.072","0.304","19","17","21","21.2","9.7","48.3","33.3","7.2","163.2","0.756","0.455","1.169"
Symphurus plagusia,Duskycheek tonguefish,Cynoglossidae,benthic,species,"205","96","352","1.13","0.57","2.01","0.149","0.074","0.293","17.9","15.9","20.1","54.3","26.2","110.8","13.7","4.3","42.8","1.3","0.9","1.9"
Symphysodon discus,Red discus,Cichlidae,benthic,species,"301","91","669","1.55","0.82","3.10","0.39","0.14","1.19","16.4","13.8","19.3","65","24","154","51.3","13.2","165.0","3.83","1.45","6.68"
Sympterygia acuta,Bignose fanskate,Arhynchobatidae,benthic,species,"15.1","3.0","72.8","0.658","0.171","1.913","0.401","0.138","1.492","17.5","14.7","19.9","26","8","88","7.9","2.6","23.9","0.562","0.279","1.023"
Sympterygia bonapartii,Smallnose fanskate,Arhynchobatidae,pelagic,species,"11.9","2.2","55.5","0.261","0.068","0.721","0.824","0.275","3.072","17","14","19","9.18","2.90","28.35","16","5","52","0.476","0.229","0.853"
Synaphobranchus kaupii,Kaup's arrowtooth eel,Synaphobranchidae,pelagic,species,"16.7","9.7","37.5","0.412","0.206","0.836","0.376","0.157","1.018","17.4","15.1","19.8","36.5","15.4","82.9","9.95","1.98","51.99","0.27","0.17","0.41"
Synbranchus marmoratus,Marbled swamp eel,Synbranchidae,pelagic,species,"61.2","27.2","179.0","1.04","0.48","2.53","0.137","0.065","0.296","18.6","16.4","20.6","18.4","7.0","49.4","10.4","2.5","42.9","0.889","0.522","1.479"
Synodus foetens,Inshore lizardfish,Synodontidae,pelagic,species,"36","12","71","0.426","0.147","0.932","0.0722","null","null","16.2","13.3","18.5","41.4","15.3","89.5","88.1","23.2","337.6","0.882","0.514","1.339"
Synodus intermedius,Sand diver,Synodontidae,pelagic,species,"24.3","7.8","53.3","0.458","0.157","1.050","0.105","0.036","0.259","16.5","13.6","18.9","23.1","8.5","53.7","52.7","12.8","194.3","0.536","0.307","0.875"
Synodus synodus,Diamond lizardfish,Synodontidae,pelagic,species,"26.4","8.7","60.3","0.472","0.160","1.074","0.0982","null","null","16.6","13.6","19.0","19.2","7.1","45.2","55.4","13.3","204.8","0.561","0.316","0.923"
Taractes rubescens,Pomfret,Bramidae,pelagic,family,"41.8","20.6","87.2","0.659","0.281","1.240","0.251","0.144","0.433","18.3","16.4","20.2","100","47","211","42.5","13.8","131.3","0.814","0.529","1.215"
Taractichthys longipinnis,Big-scale pomfret,Bramidae,pelagic,species,"34.6","13.4","62.3","0.868","0.382","1.764","0.316","0.175","0.560","19.5","17.6","21.4","35.1","16.0","71.8","12.8","3.1","51.9","0.458","0.294","0.720"
Tetrapturus pfluegeri,Longbill spearfish,Istiophoridae,pelagic,species,"37.9","17.3","66.4","1.05","0.60","1.83","0.231","0.124","0.428","19.7","18.5","20.8","44.6","22.8","89.1","5.4","1.7","17.5","0.368","0.250","0.552"
Tetronarce nobiliana,Electric ray,Torpedinidae,pelagic,species,"4.55","0.56","83.64","0.469","0.043","5.703","0.287","0.104","0.796","16.5","12.3","20.1","43.8","7.7","218.9","10.9","0.8","145.9","0.386","0.021","4.499"
Thunnus alalunga,Albacore,Scombridae,pelagic,species,"31.2","17.4","55.3","2.89","1.17","7.46","0.434","0.280","0.675","23.8","22.4","25.1","38.3","12.8","114.7","29.8","4.6","268.7","0.363","0.203","0.715"
Thunnus albacares,Yellowfin tuna,Scombridae,benthic,species,"41","22","86","2.84","1.17","6.68","0.274","0.166","0.457","23.7","22.2","25.1","82.4","21.0","256.4","29.6","3.7","227.6","0.524","0.292","0.972"
Thunnus atlanticus,Blackfin tuna,Scombridae,benthic,species,"48.4","26.7","111.0","2.86","1.11","6.97","0.31","0.19","0.52","22.9","21.4","24.3","84.5","27.1","268.2","69.2","9.8","534.2","0.59","0.31","1.14"
Thunnus maccoyii,Southern bluefin tuna,Scombridae,pelagic,species,"9.89","5.80","19.12","0.922","0.355","2.441","0.74","0.44","1.24","23.2","21.7","24.6","31.2","8.4","97.4","22","3","199","0.245","0.131","0.490"
Thunnus obesus,Bigeye tuna,Scombridae,pelagic,species,"22.1","12.0","42.2","2.65","1.06","6.93","0.453","0.273","0.754","24","23","25","54.7","17.4","171.5","19.6","2.7","180.1","0.278","0.153","0.561"
Thunnus thynnus,Atlantic bluefin tuna,Scombridae,benthic,species,"13.1","7.2","24.7","2.09","0.85","5.36","0.393","0.229","0.689","24.2","22.6","25.6","53.2","20.7","152.4","17.3","2.2","167.3","0.319","0.187","0.655"
Thyrsitops lepidopoides,White snake mackerel,Gempylidae,pelagic,species,"56.1","28.8","110.9","0.937","0.484","1.779","0.418","0.265","0.639","17.8","15.7","19.7","35.2","19.6","65.3","29","12","80","0.69","0.52","0.94"
Trachinocephalus myops,Snakefish,Synodontidae,pelagic,species,"34.5","11.1","70.8","0.364","0.127","0.946","0.0732","null","null","15.4","12.9","17.8","48.8","18.4","109.3","77.6","17.7","284.8","0.871","0.520","1.341"
Trachinotus carolinus,Florida pompano,Carangidae,benthic,species,"57.7","29.8","115.8","0.97","0.54","2.04","0.281","0.153","0.553","18.8","16.7","20.8","30.8","15.2","64.5","7.89","2.08","26.10","0.721","0.478","1.101"
Trachinotus cayennensis,Cayenne pompano,Carangidae,benthic,genus,"126","84","295","1.28","0.79","2.43","0.267","0.157","0.469","19.3","17.3","21.3","54.8","30.5","103.3","14.2","4.5","35.0","1.07","0.79","1.48"
Trachinotus falcatus,Permit,Carangidae,benthic,species,"23.2","8.6","45.2","0.618","0.318","1.376","0.167","0.087","0.331","20.7","18.6","22.7","19","8","47","11.6","2.6","53.6","0.494","0.296","0.798"
Trachinotus goodei,Great pompano,Carangidae,pelagic,species,"39.6","14.6","74.0","0.785","0.387","1.762","0.158","0.081","0.315","20.1","18.1","22.2","12","5","27","40.7","10.2","151.3","0.509","0.300","0.825"
Trachurus lathami,Rough scad,Carangidae,pelagic,species,"110","48","194","1.94","1.02","3.58","0.201","0.116","0.339","20.1","19.1","20.9","16.6","8.3","34.4","63.7","15.9","264.8","1.65","1.07","2.55"
Trichiurus lepturus,Largehead hairtail,Trichiuridae,pelagic,species,"100","30","212","1.23","0.36","2.72","0.256","0.133","0.574","19.4","17.7","21.0","173","63","488","3.29","0.71","21.47","0.855","0.444","1.405"
Trinectes paulistanus,Slipper sole,Achiridae,benthic,species,"255","117","432","1.15","0.57","2.18","0.133","0.061","0.267","17.6","16.3","19.0","35","17","74","19.4","6.3","58.6","1.52","1.01","2.20"
Triportheus angulatus,,Triportheidae,benthic,species,"129","39","297","1.45","0.71","3.21","0.4","0.1","1.1","18","16","20","46.5","20.9","99.7","65.9","23.0","160.6","2.4","1.7","3.4"
Triportheus nematurus,,Triportheidae,benthic,genus,"125","53","299","1.41","0.70","3.35","0.322","0.119","0.926","17.6","15.5","19.8","45.2","18.2","101.5","53","18","145","2.17","1.44","3.18"
Tylosurus acus,Agujon needlefish,Belonidae,pelagic,species,"33","8","135","0.498","0.212","1.475","0.16","0.06","0.47","17.2","14.4","20.3","16.9","6.9","46.1","102","14","608","0.447","0.259","0.773"
Tylosurus crocodilus,Hound needlefish,Belonidae,pelagic,species,"45.3","13.1","198.8","0.475","0.220","1.403","0.109","0.046","0.331","16.4","13.7","19.6","39.2","19.0","90.4","176","28","893","0.644","0.414","1.036"
Ulaema lefroyi,Mottled mojarra,Gerreidae,benthic,family,"76.2","39.2","126.4","0.686","0.328","1.153","0.148","0.084","0.243","19.2","17.2","21.0","30.7","18.3","54.1","73.9","20.5","213.6","1.45","0.98","2.03"
Umbrina canosai,Argentine croaker,Sciaenidae,pelagic,species,"87.1","46.8","175.5","1.14","0.60","2.03","0.415","0.243","0.670","19.7","18.6","20.8","28.3","14.6","54.5","18.5","6.5","62.6","0.746","0.523","1.092"
Umbrina coroides,Sand drum,Sciaenidae,benthic,species,"108","57","214","1.08","0.56","1.92","0.297","0.162","0.506","19.6","18.5","20.7","17.2","9.4","33.7","13.3","4.8","41.4","1.08","0.78","1.64"
Upeneus parvus,Dwarf goatfish,Mullidae,pelagic,species,"157","89","302","1","0","2","0.291","0.165","0.535","17.4","15.4","19.7","53.4","28.0","103.4","27","9","94","1.07","0.66","1.52"
Uraspis secunda,Cottonmouth jack,Carangidae,pelagic,genus,"93.5","50.8","205.8","1.64","0.88","3.02","0.409","0.251","0.700","20.1","18.9","21.4","18.9","9.9","37.8","11.2","3.5","34.5","0.693","0.484","1.037"
Urophycis brasiliensis,Brazilian codling,Phycidae,benthic,species,"65.1","28.8","136.9","1","1","2","0.351","0.185","0.642","18.5","17.2","19.8","30.9","16.8","61.3","12.5","3.9","37.5","0.66","0.47","0.94"
Uropterygius macularius,Marbled moray,Muraenidae,benthic,genus,"39.2","18.0","107.5","0.58","0.31","1.12","0.188","0.080","0.533","19.4","17.1","21.9","13.3","6.0","33.0","61.6","16.1","235.9","0.801","0.494","1.255"
Vinciguerria attenuata,Slender lightfish,Phosichthyidae,pelagic,species,"236","74","1,586","3","1","12","0.346","0.089","1.339","3.75","0.00","7.87","36.7","7.8","217.8","33","4","280","2.65","1.07","7.29"
Vinciguerria poweriae,Power's deep-water bristle-mouth fish,Phosichthyidae,pelagic,species,"189","44","4,417","4.33","0.72","21.79","0.24","0.02","3.37","2.51","0.00","7.26","75.8","4.4","1,203.4","3.47","0.11","100.33","4.82","1.15","19.23"
Xanthichthys ringens,Sargassum triggerfish,Balistidae,pelagic,species,"52.2","23.7","116.5","0.732","0.377","1.701","0.125","0.062","0.251","18.2","16.0","20.4","35.5","17.2","76.8","93.2","25.8","330.0","1.04","0.67","1.55"
Xenodermichthys copei,Bluntsnout smooth-head,Alepocephalidae,pelagic,species,"18.9","5.2","84.2","0.422","0.123","1.324","0.165","0.052","0.541","14","11","17","12.8","3.5","51.4","37.4","5.1","305.3","0.561","0.250","1.389"
Xiphias gladius,Swordfish,Xiphiidae,pelagic,species,"9","4","16","0.278","0.142","0.491","0.333","0.155","0.694","19.3","17.0","22.1","44.1","17.4","121.6","5.71","1.63","20.67","0.443","0.157","0.783"
Xyrichtys martinicensis,Rosy razorfish,Labridae,benthic,species,"65.3","27.2","142.0","0.678","0.355","1.489","0.147","0.074","0.285","18.7","15.8","21.0","11.4","4.8","27.1","85.4","22.3","426.5","1.19","0.69","2.13"
Xyrichtys novacula,Pearly razorfish,Labridae,benthic,species,"32.8","14.9","67.1","0.522","0.286","1.082","0.142","0.077","0.259","18.8","15.9","21.0","18.7","8.5","39.1","56.4","15.9","255.3","0.892","0.550","1.509"
Xyrichtys splendens,Green razorfish,Labridae,pelagic,species,"64.1","25.3","133.2","0.761","0.399","1.731","0.13","0.06","0.26","18.5","15.5","20.7","10.6","4.6","26.6","121","32","568","1.15","0.68","2.10"
Zameus squamulosus,Velvet dogfish,Somniosidae,pelagic,species,"5.01","0.96","26.10","0.208","0.047","0.710","0.3","0.1","1.0","18.7","16.3","21.1","20.2","5.1","67.9","15.5","2.9","85.2","0.398","0.181","0.835"
Zapteryx brevirostris,Lesser guitarfish,Trygonorrhinidae,benthic,genus,"35.9","5.9","168.6","0.87","0.23","2.50","0.372","0.152","0.819","19.8","17.6","21.7","15.9","4.6","44.3","12.3","4.4","32.7","0.667","0.317","1.222"
Zenopsis conchifer,Silvery John dory,Zeidae,pelagic,species,"11.5","6.2","25.1","0.315","0.130","0.656","0.338","0.158","0.710","17.6","14.7","20.5","21.5","8.7","51.2","15.5","2.7","90.0","0.265","0.169","0.420"
Zungaro jahu,,Pimelodidae,pelagic,genus,"36","15","77","0.894","0.467","1.728","0.25","0.10","0.64","16.2","14.3","18.3","103","39","231","53.5","17.9","159.9","0.964","0.672","1.372"
Zungaro zungaro,Gilded catfish,Pimelodidae,pelagic,species,"54.6","16.3","121.7","1.33","0.68","2.58","0.432","0.168","1.121","17.5","15.7","19.5","87.9","34.6","198.4","29.4","8.6","100.1","0.812","0.531","1.218"
